trial_number,trial_type,cycle_number,first_color,first_orientation,correct_response,visual_field,spatial_frequency,first_stim,second_stim,stimulus_frame_duration,answer,rt,accuracy,staircase_dv,staircase_trial_num,staircase_previous_correct,staircase_reversal,staircase_reversal_num,staircase_phase,staircase_step_size,staircase_powers_law,staircase_siam,staircase_over,staircase_name,staircase_conv_p,staircase_step_hit,staircase_step_miss,threshold_low1,threshold_low2,threshold_low3,threshold_low4,threshold_low6,threshold_high1,threshold_high2,threshold_high3,threshold_high4,threshold_high6,frame_rate,participant,psychopyVersion,frame_rate_detected
851,"['high', 2]",2,white,45,left,up,high,white_high_45_up,black_high_135_up,11,left,0.1403215,1,11,77,0,TRUE,26,1,1,1,TRUE,FALSE,high_2,0.75,-1,3,,,,,,,,,,,165,3,3.2.2021,164.8622493
852,"['low', 1]",1,black,135,left,down,low,black_low_135_down,white_low_45_down,10,right,3.227672,0,10,78,1,TRUE,30,1,1,1,TRUE,TRUE,low_1,0.75,-1,3,,,,,,,,,,,165,3,3.2.2021,164.8622493
853,"['low', 6]",6,black,135,left,up,low,black_low_135_up,white_low_45_up,3,left,0.1355513,1,3,82,1,TRUE,16,1,1,1,TRUE,FALSE,low_6,0.75,-1,3,,,,,,,,,,,165,3,3.2.2021,164.8622493
854,"['low', 4]",4,black,135,left,down,low,black_low_135_down,white_low_45_down,2,left,0.230531,1,2,85,1,FALSE,22,1,1,1,TRUE,FALSE,low_4,0.75,-1,3,,,,,,,,,,,165,3,3.2.2021,164.8622493
855,"['low', 1]",1,black,135,left,up,low,black_low_135_up,white_low_45_up,10,right,0.1807568,0,10,78,1,TRUE,30,1,1,1,TRUE,TRUE,low_1,0.75,-1,3,,,,,,,,,,,165,3,3.2.2021,164.8622493
856,"['high', 2]",2,white,45,left,down,high,white_high_45_down,black_high_135_down,10,left,0.1429936,1,10,78,1,TRUE,27,1,1,1,TRUE,FALSE,high_2,0.75,-1,3,,,,,,,,,,,165,3,3.2.2021,164.8622493
857,"['high', 4]",4,black,45,right,up,high,black_high_45_up,white_high_135_up,7,right,0.2536535,1,7,73,1,TRUE,30,1,1,1,TRUE,TRUE,high_4,0.75,-1,3,,,,,,,,,,,165,3,3.2.2021,164.8622493
858,"['high', 2]",2,white,45,left,up,high,white_high_45_up,black_high_135_up,9,left,0.0775464,1,9,79,1,FALSE,27,1,1,1,TRUE,FALSE,high_2,0.75,-1,3,,,,,,,,,,,165,3,3.2.2021,164.8622493
859,"['low', 2]",2,black,45,right,up,low,black_low_45_up,white_low_135_up,5,left,0.3472239,0,5,81,1,TRUE,30,1,1,1,TRUE,TRUE,low_2,0.75,-1,3,,,,,,,,,,,165,3,3.2.2021,164.8622493
860,"['low', 4]",4,white,135,right,up,low,white_low_135_up,black_low_45_up,1,right,0.3151129,1,1,86,1,FALSE,22,1,1,1,TRUE,FALSE,low_4,0.75,-1,3,,,,,,,,,,,165,3,3.2.2021,164.8622493
