trial_number,trial_type,mask_present,cycle_number,first_color,first_orientation,correct_response,visual_field,spatial_frequency,first_stim,second_stim,stimulus_frame_duration,answer,rt,accuracy,frame_rate,participant,psychopyVersion,frame_rate_detected
770,"['high', 32, 2, True]",TRUE,32,black,135,left,down,high,black_high_135_down,white_high_45_down,2,left,0.1145903,1,120,5,3.2.2021,119.9868015
771,"['low', 3, 2, True]",TRUE,3,white,135,right,up,low,white_low_135_up,black_low_45_up,2,right,0.1331905,1,120,5,3.2.2021,119.9868015
772,"['high', 32, 2, True]",TRUE,32,white,45,left,down,high,white_high_45_down,black_high_135_down,2,left,0.4102439,1,120,5,3.2.2021,119.9868015
773,"['high', 3, 2, True]",TRUE,3,white,45,left,down,high,white_high_45_down,black_high_135_down,2,left,0.4582751,1,120,5,3.2.2021,119.9868015
774,"['high', 3, 2, True]",TRUE,3,black,45,right,down,high,black_high_45_down,white_high_135_down,2,left,0.1233567,0,120,5,3.2.2021,119.9868015
775,"['low', 2, 2, True]",TRUE,2,white,45,left,up,low,white_low_45_up,black_low_135_up,2,left,0.1918069,1,120,5,3.2.2021,119.9868015
776,"['high', 3, 60, False]",FALSE,3,black,45,right,down,high,black_high_45_down,white_high_135_down,60,right,0.2840516,1,120,5,3.2.2021,119.9868015
777,"['low', 32, 2, True]",TRUE,32,white,135,right,down,low,white_low_135_down,black_low_45_down,2,right,0.1439705,1,120,5,3.2.2021,119.9868015
778,"['low', 64, 2, True]",TRUE,64,black,45,right,up,low,black_low_45_up,white_low_135_up,2,right,0.1955444,1,120,5,3.2.2021,119.9868015
779,"['low', 32, 2, True]",TRUE,32,white,135,right,down,low,white_low_135_down,black_low_45_down,2,right,0.2444773,1,120,5,3.2.2021,119.9868015
780,"['low', 3, 2, True]",TRUE,3,black,45,right,up,low,black_low_45_up,white_low_135_up,2,right,0.0585139,1,120,5,3.2.2021,119.9868015
781,"['low', 3, 2, True]",TRUE,3,white,45,left,down,low,white_low_45_down,black_low_135_down,2,left,0.0180428,1,120,5,3.2.2021,119.9868015
782,"['low', 16, 2, True]",TRUE,16,black,45,right,down,low,black_low_45_down,white_low_135_down,2,right,0.2418777,1,120,5,3.2.2021,119.9868015
783,"['high', 4, 2, True]",TRUE,4,black,135,left,down,high,black_high_135_down,white_high_45_down,2,right,0.5327071,0,120,5,3.2.2021,119.9868015
784,"['high', 64, 2, True]",TRUE,64,black,45,right,up,high,black_high_45_up,white_high_135_up,2,right,0.317693,1,120,5,3.2.2021,119.9868015
785,"['high', 3, 2, True]",TRUE,3,black,45,right,up,high,black_high_45_up,white_high_135_up,2,right,0.0334826,1,120,5,3.2.2021,119.9868015
786,"['high', 1, 2, False]",FALSE,1,white,45,left,down,high,white_high_45_down,black_high_135_down,2,left,0.4041476,1,120,5,3.2.2021,119.9868015
787,"['low', 2, 2, True]",TRUE,2,black,135,left,down,low,black_low_135_down,white_low_45_down,2,right,0.2104184,0,120,5,3.2.2021,119.9868015
788,"['high', 1, 2, True]",TRUE,1,black,45,right,up,high,black_high_45_up,white_high_135_up,2,left,0.203169,0,120,5,3.2.2021,119.9868015
789,"['high', 2, 2, True]",TRUE,2,white,135,right,up,high,white_high_135_up,black_high_45_up,2,right,0.4284169,1,120,5,3.2.2021,119.9868015
790,"['low', 3, 2, True]",TRUE,3,white,45,left,down,low,white_low_45_down,black_low_135_down,2,left,0.0480842,1,120,5,3.2.2021,119.9868015
791,"['high', 64, 2, True]",TRUE,64,black,135,left,up,high,black_high_135_up,white_high_45_up,2,left,0.1357179,1,120,5,3.2.2021,119.9868015
792,"['high', 1, 2, False]",FALSE,1,white,45,left,up,high,white_high_45_up,black_high_135_up,2,left,0.385215,1,120,5,3.2.2021,119.9868015
793,"['high', 1, 2, True]",TRUE,1,white,45,left,down,high,white_high_45_down,black_high_135_down,2,left,0.3120322,1,120,5,3.2.2021,119.9868015
794,"['low', 3, 2, True]",TRUE,3,white,135,right,up,low,white_low_135_up,black_low_45_up,2,right,0.2281018,1,120,5,3.2.2021,119.9868015
795,"['high', 8, 2, True]",TRUE,8,white,45,left,down,high,white_high_45_down,black_high_135_down,2,left,0.1223986,1,120,5,3.2.2021,119.9868015
796,"['high', 2, 2, True]",TRUE,2,black,135,left,down,high,black_high_135_down,white_high_45_down,2,right,0.6714649,0,120,5,3.2.2021,119.9868015
797,"['low', 32, 2, True]",TRUE,32,white,45,left,up,low,white_low_45_up,black_low_135_up,2,left,0.2089964,1,120,5,3.2.2021,119.9868015
798,"['high', 2, 2, True]",TRUE,2,black,135,left,down,high,black_high_135_down,white_high_45_down,2,right,0.2477671,0,120,5,3.2.2021,119.9868015
799,"['high', 16, 2, True]",TRUE,16,black,45,right,up,high,black_high_45_up,white_high_135_up,2,right,0.0925599,1,120,5,3.2.2021,119.9868015
800,"['high', 8, 2, True]",TRUE,8,white,135,right,down,high,white_high_135_down,black_high_45_down,2,right,0.6613179,1,120,5,3.2.2021,119.9868015
801,"['low', 64, 2, True]",TRUE,64,black,45,right,down,low,black_low_45_down,white_low_135_down,2,right,0.126899,1,120,5,3.2.2021,119.9868015
802,"['high', 32, 2, True]",TRUE,32,black,45,right,down,high,black_high_45_down,white_high_135_down,2,right,0.4167287,1,120,5,3.2.2021,119.9868015
803,"['high', 1, 2, False]",FALSE,1,black,45,right,down,high,black_high_45_down,white_high_135_down,2,right,1.1816503,1,120,5,3.2.2021,119.9868015
804,"['high', 16, 2, True]",TRUE,16,black,45,right,down,high,black_high_45_down,white_high_135_down,2,right,0.2952673,1,120,5,3.2.2021,119.9868015
805,"['high', 4, 2, True]",TRUE,4,black,135,left,down,high,black_high_135_down,white_high_45_down,2,right,0.3466923,0,120,5,3.2.2021,119.9868015
806,"['high', 16, 2, True]",TRUE,16,black,135,left,up,high,black_high_135_up,white_high_45_up,2,left,0.2104249,1,120,5,3.2.2021,119.9868015
807,"['low', 1, 2, True]",TRUE,1,black,45,right,down,low,black_low_45_down,white_low_135_down,2,right,0.7294131,1,120,5,3.2.2021,119.9868015
808,"['high', 3, 60, False]",FALSE,3,black,135,left,up,high,black_high_135_up,white_high_45_up,60,left,0.3211476,1,120,5,3.2.2021,119.9868015
809,"['high', 1, 2, True]",TRUE,1,black,135,left,up,high,black_high_135_up,white_high_45_up,2,right,0.7478303,0,120,5,3.2.2021,119.9868015
810,"['low', 1, 2, True]",TRUE,1,black,135,left,up,low,black_low_135_up,white_low_45_up,2,right,0.2985673,0,120,5,3.2.2021,119.9868015
811,"['high', 3, 60, False]",FALSE,3,white,45,left,up,high,white_high_45_up,black_high_135_up,60,left,0.347652,1,120,5,3.2.2021,119.9868015
812,"['low', 1, 2, True]",TRUE,1,black,135,left,up,low,black_low_135_up,white_low_45_up,2,left,0.3619793,1,120,5,3.2.2021,119.9868015
813,"['low', 8, 2, True]",TRUE,8,white,135,right,up,low,white_low_135_up,black_low_45_up,2,right,0.1345113,1,120,5,3.2.2021,119.9868015
