trial_number,trial_type,cycle_number,first_color,phase,first_orientation,correct_response,visual_field,spatial_frequency,mask_type,mask_images,first_stim,second_stim,stimulus_frame_duration,fixation_duration,mask_duration,answer,rt,accuracy,staircase_dv,staircase_trial_num,staircase_previous_correct,staircase_phase,staircase_step_size,staircase_powers_law,staircase_siam,staircase_over,staircase_name,staircase_conv_p,staircase_step_hit,staircase_step_miss,staircase_reversal,staircase_reversal_num,threshold_low1_mask_low,threshold_low2_mask_low,threshold_low3_mask_low,threshold_low1_mask_high,threshold_low2_mask_high,threshold_low3_mask_high,threshold_high1_mask_low,threshold_high2_mask_low,threshold_high3_mask_low,threshold_high1_mask_high,threshold_high2_mask_high,threshold_high3_mask_high,threshold_med1_mask_low,threshold_med2_mask_low,threshold_med3_mask_low,threshold_med1_mask_high,threshold_med2_mask_high,threshold_med3_mask_high,frame_rate,participant,psychopyVersion,frame_rate_detected
537,"['low', 3, 'low']",3,black,0.434318392,135,left,up,low,low,black_low_135-white_low_45-black_low_45-white_low_135,black_low_135_up,white_low_45_up,3,1.951579228,0.2467393,left,0.2574797,1,3,28,1,1,1,1,TRUE,FALSE,low_3_mask_low,0.75,-1,3,FALSE,10,,,,,,,,,,,,,,,,,,,165,5,3.2.2021,165.151948
538,"['high', 2, 'high']",2,black,0.250020514,45,right,down,high,high,white_high_135-black_high_135-black_high_45-white_high_135,black_high_45_down,white_high_135_down,8,1.871127851,0.2502807,left,0.0197954,0,8,28,1,1,1,1,TRUE,FALSE,high_2_mask_high,0.75,-1,3,TRUE,15,,,,,,,,,,,,,,,,,,,165,5,3.2.2021,165.151948
539,"['med', 2, 'low']",2,black,0.725662288,45,right,up,med,low,black_low_45-white_low_135-white_low_45-black_low_135,black_med_45_up,white_med_135_up,8,1.691717986,0.2502965,left,0.0429581,0,8,32,1,1,1,1,TRUE,FALSE,med_2_mask_low,0.75,-1,3,TRUE,17,,,,,,,,,,,,,,,,,,,165,5,3.2.2021,165.151948
540,"['high', 2, 'low']",2,white,0.536494606,135,right,down,high,low,black_low_135-white_low_135-white_low_45-black_low_45,white_high_135_down,black_high_45_down,11,1.813362515,0.2485494,left,0.0375717,0,11,27,0,1,1,1,TRUE,FALSE,high_2_mask_low,0.75,-1,3,FALSE,11,,,,,,,,,,,,,,,,,,,165,5,3.2.2021,165.151948
541,"['med', 2, 'high']",2,white,0.948009418,45,left,down,med,high,black_high_135-white_high_135-white_high_135-black_high_45,white_med_45_down,black_med_135_down,11,1.970421101,0.2488207,left,0.1950784,1,11,33,0,1,1,1,TRUE,FALSE,med_2_mask_high,0.75,-1,3,TRUE,16,,,,,,,,,,,,,,,,,,,165,5,3.2.2021,165.151948
542,"['med', 3, 'low']",3,black,0.747056801,135,left,down,med,low,white_low_45-black_low_135-black_low_45-white_low_135,black_med_135_down,white_med_45_down,5,1.246171985,0.2485468,left,0.2751263,1,5,28,1,1,1,1,TRUE,FALSE,med_3_mask_low,0.75,-1,3,FALSE,10,,,,,,,,,,,,,,,,,,,165,5,3.2.2021,165.151948
543,"['low', 2, 'high']",2,black,0.856196838,45,right,up,low,high,white_high_135-black_high_45-black_high_135-white_high_135,black_low_45_up,white_low_135_up,4,1.897438727,0.2467332,left,0.317652,0,4,35,1,1,1,1,TRUE,FALSE,low_2_mask_high,0.75,-1,3,TRUE,15,,,,,,,,,,,,,,,,,,,165,5,3.2.2021,165.151948
544,"['low', 3, 'low']",3,black,0.613261708,135,left,down,low,low,white_low_135-black_low_45-white_low_45-black_low_135,black_low_135_down,white_low_45_down,2,1.370030807,0.2468062,left,0.1482176,1,2,29,1,1,1,1,TRUE,FALSE,low_3_mask_low,0.75,-1,3,FALSE,10,,,,,,,,,,,,,,,,,,,165,5,3.2.2021,165.151948
545,"['low', 3, 'high']",3,white,0.73787493,45,left,down,low,high,white_high_135-black_high_135-white_high_135-black_high_45,white_low_45_down,black_low_135_down,8,1.694012438,0.2467385,left,0.1798342,1,8,31,1,1,1,1,TRUE,FALSE,low_3_mask_high,0.75,-1,3,FALSE,13,,,,,,,,,,,,,,,,,,,165,5,3.2.2021,165.151948
546,"['high', 2, 'high']",2,black,0.443126048,135,left,down,high,high,black_high_45-white_high_135-white_high_135-black_high_135,black_high_135_down,white_high_45_down,11,1.422436008,0.2485399,left,0.2015413,1,11,29,0,1,1,1,TRUE,FALSE,high_2_mask_high,0.75,-1,3,TRUE,16,,,,,,,,,,,,,,,,,,,165,5,3.2.2021,165.151948
547,"['high', 1, 'low']",1,black,0.878518236,45,right,down,high,low,black_low_135-white_low_45-black_low_45-white_low_135,black_high_45_down,white_high_135_down,16,1.158982867,0.2485573,left,0.1565605,0,16,16,1,1,1,1,TRUE,FALSE,high_1_mask_low,0.75,-1,3,TRUE,9,,,,,,,,,,,,,,,,,,,165,5,3.2.2021,165.151948
548,"['med', 1, 'high']",1,black,0.73521788,135,left,up,med,high,black_high_45-white_high_135-black_high_135-white_high_135,black_med_135_up,white_med_45_up,22,1.298991816,0.2502908,left,0.017251,1,22,30,1,1,1,1,TRUE,FALSE,med_1_mask_high,0.75,-1,3,FALSE,12,,,,,,,,,,,,,,,,,,,165,5,3.2.2021,165.151948
549,"['low', 3, 'high']",3,white,0.154908745,135,right,down,low,high,white_high_135-black_high_45-black_high_135-white_high_135,white_low_135_down,black_low_45_down,7,1.368825726,0.2485596,right,0.0898652,1,7,32,1,1,1,1,TRUE,FALSE,low_3_mask_high,0.75,-1,3,FALSE,13,,,,,,,,,,,,,,,,,,,165,5,3.2.2021,165.151948
550,"['low', 2, 'high']",2,white,0.717807489,45,left,down,low,high,white_high_135-black_high_135-white_high_135-black_high_45,white_low_45_down,black_low_135_down,7,1.429012186,0.2485667,left,0.1971834,1,7,36,0,1,1,1,TRUE,FALSE,low_2_mask_high,0.75,-1,3,TRUE,16,,,,,,,,,,,,,,,,,,,165,5,3.2.2021,165.151948
551,"['med', 1, 'high']",1,white,0.645881768,135,right,up,med,high,black_high_45-white_high_135-white_high_135-black_high_135,white_med_135_up,black_med_45_up,21,1.931756296,0.250301,right,0.7241557,1,21,31,1,1,1,1,TRUE,FALSE,med_1_mask_high,0.75,-1,3,FALSE,12,,,,,,,,,,,,,,,,,,,165,5,3.2.2021,165.151948
552,"['low', 3, 'high']",3,white,0.513564788,135,right,down,low,high,white_high_135-black_high_45-white_high_135-black_high_135,white_low_135_down,black_low_45_down,6,1.330733916,0.2502783,right,0.1745134,1,6,33,1,1,1,1,TRUE,FALSE,low_3_mask_high,0.75,-1,3,FALSE,13,,,,,,,,,,,,,,,,,,,165,5,3.2.2021,165.151948
553,"['high', 1, 'low']",1,white,0.002786742,45,left,down,high,low,white_low_45-white_low_135-black_low_135-black_low_45,white_high_45_down,black_high_135_down,19,1.473506684,0.2502952,left,0.0595921,1,19,17,0,1,1,1,TRUE,FALSE,high_1_mask_low,0.75,-1,3,TRUE,10,,,,,,,,,,,,,,,,,,,165,5,3.2.2021,165.151948
554,"['high', 2, 'low']",2,white,0.283795852,45,left,down,high,low,white_low_45-black_low_135-black_low_45-white_low_135,white_high_45_down,black_high_135_down,14,1.139596825,0.2485448,left,0.1118404,1,14,28,0,1,1,1,TRUE,FALSE,high_2_mask_low,0.75,-1,3,TRUE,12,,,,,,,,,,,,,,,,,,,165,5,3.2.2021,165.151948
555,"['low', 1, 'high']",1,black,0.896909359,45,right,down,low,high,white_high_135-white_high_135-black_high_45-black_high_135,black_low_45_down,white_low_135_down,26,1.260943473,0.2485425,right,0.5947464,1,26,22,0,1,1,1,TRUE,FALSE,low_1_mask_high,0.75,-1,3,TRUE,7,,,,,,,,,,,,,,,,,,,165,5,3.2.2021,165.151948
556,"['high', 1, 'low']",1,white,0.386338408,135,right,up,high,low,white_low_135-white_low_45-black_low_135-black_low_45,white_high_135_up,black_high_45_up,18,1.649240945,0.2485337,right,0.1226683,1,18,18,1,1,1,1,TRUE,FALSE,high_1_mask_low,0.75,-1,3,FALSE,10,,,,,,,,,,,,,,,,,,,165,5,3.2.2021,165.151948
557,"['high', 2, 'high']",2,black,0.713571824,45,right,down,high,high,black_high_45-white_high_135-black_high_135-white_high_135,black_high_45_down,white_high_135_down,10,1.790400375,0.24855,left,0.0428034,0,10,30,1,1,1,1,TRUE,FALSE,high_2_mask_high,0.75,-1,3,TRUE,17,,,,,,,,,,,,,,,,,,,165,5,3.2.2021,165.151948
558,"['med', 1, 'high']",1,black,0.656426849,45,right,up,med,high,black_high_135-white_high_135-black_high_45-white_high_135,black_med_45_up,white_med_135_up,20,1.908691689,0.2485433,right,0.3511932,1,20,32,1,1,1,1,TRUE,FALSE,med_1_mask_high,0.75,-1,3,FALSE,12,,,,,,,,,,,,,,,,,,,165,5,3.2.2021,165.151948
559,"['high', 3, 'low']",3,white,0.661021957,45,left,down,high,low,black_low_45-black_low_135-white_low_135-white_low_45,white_high_45_down,black_high_135_down,14,1.072481823,0.2485512,left,0.2081362,1,14,30,1,1,1,1,TRUE,FALSE,high_3_mask_low,0.75,-1,3,FALSE,14,,,,,,,,,,,,,,,,,,,165,5,3.2.2021,165.151948
